,Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm,dailyTotal,avgDaily,data_date
25,QV Market-Elizabeth St (West),26,11,20,16,27,44,37,115,177,224,348,370,459,480,407,240,204,215,168,115,55,41,40,14,3853,160.5416667,18/08/2020
26,QV Market-Peel St,9,,,1,1,3,13,41,59,76,116,98,95,115,92,63,70,63,56,40,10,10,3,4,1038,47.18181818,18/08/2020
27,The Arts Centre,19,9,15,21,37,58,80,106,142,118,133,163,181,208,148,151,213,240,166,94,40,49,18,12,2421,100.875,18/08/2020
28,St Kilda Rd-Alexandra Gardens,,,,,,4,22,73,60,53,84,79,94,92,73,63,136,127,85,26,2,,4,1,1078,59.88888889,18/08/2020
29,Lonsdale St (South),2,,1,4,1,8,21,49,32,36,54,77,98,109,93,113,77,84,90,67,26,27,23,14,1106,48.08695652,18/08/2020
30,Lygon St (West),24,6,1,9,5,10,19,34,43,68,103,105,121,114,113,79,92,108,100,73,29,63,44,31,1394,58.08333333,18/08/2020
31,City Square,,,,,,,,,,,,,,,,,,,,,,,,,0,,18/08/2020
32,Flinders St-Spring St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,18/08/2020
33,Flinders St-Spark La,,,,,,7,9,37,34,47,26,38,33,30,34,33,41,70,23,12,3,3,,5,485,26.94444444,18/08/2020
34,Southbank,2,,,4,3,25,100,242,272,208,265,305,421,384,221,248,429,583,364,143,11,7,4,1,4242,192.8181818,18/08/2020
35,Queen St (West),,1,,,,5,28,49,70,65,77,83,84,118,99,61,61,68,44,23,16,6,7,6,971,48.55,18/08/2020
36,Lygon St (East),,2,,3,,,,,,48,44,51,81,83,69,48,69,52,62,27,4,3,1,2,649,38.17647059,18/08/2020
37,Alfred Place,6,2,,,2,2,4,15,17,28,30,25,32,27,30,20,18,11,12,6,2,,3,,292,14.6,18/08/2020
38,Lonsdale St-Spring St (West),,,,,1,6,12,42,50,74,70,69,58,69,55,48,83,72,53,29,2,8,22,2,825,41.25,18/08/2020
39,Grattan St-Swanston St (West),4,1,,,7,3,29,26,31,54,40,47,46,50,30,33,33,74,52,25,4,2,1,3,595,27.04545455,18/08/2020
40,Monash Rd-Swanston St (West),,1,,,,4,9,23,37,27,31,25,29,31,17,21,30,64,42,8,2,,1,1,403,21.21052632,18/08/2020
41,Tin Alley-Swanston St (West),2,1,,,,2,9,10,20,19,15,10,12,19,14,10,21,38,19,4,1,,,2,228,12,18/08/2020
42,Little Collins St-Swanston St (East),5,1,,8,2,20,21,67,68,91,86,141,163,145,110,130,149,113,72,46,23,9,18,7,1495,65,18/08/2020
43,Flinders La-Swanston St (West),27,16,,5,8,62,183,210,280,292,258,319,342,429,416,338,399,356,255,135,84,58,40,31,4543,197.5217391,18/08/2020
44,Pelham St (South),6,,1,,1,7,5,18,21,36,37,25,36,42,18,30,40,38,32,19,6,1,,3,422,20.0952381,18/08/2020
45,Melbourne Central-Elizabeth St (East),17,21,24,7,15,40,95,117,168,233,276,304,426,444,442,506,386,430,314,182,75,70,67,31,4690,195.4166667,18/08/2020
46,QVM-Queen St (East),7,,1,2,4,5,26,46,87,107,141,149,195,178,164,102,101,83,48,47,13,11,5,2,1524,66.26086957,18/08/2020
47,QVM-Therry St (South),41,37,36,39,25,23,44,66,88,84,108,113,197,164,127,100,87,86,101,86,98,87,50,63,1950,81.25,18/08/2020
48,Faraday St-Lygon St (West),1,1,1,4,5,,9,35,72,91,104,126,140,125,92,85,107,77,62,42,14,11,3,1,1208,52.52173913,18/08/2020
49,QVM-Franklin St (North),3,9,,1,2,13,53,94,53,151,48,100,145,152,129,91,82,95,74,37,11,8,8,9,1368,59.47826087,18/08/2020
50,Elizabeth St-Lonsdale St (South),1,3,1,,1,3,15,28,29,28,60,71,90,84,67,75,66,70,62,27,6,13,5,3,808,35.13043478,18/08/2020
51,Lincoln-Swanston (W),,,,,,,,,,,,,,,,,,,,,,,,,0,,18/08/2020
52,Elizabeth St-La Trobe St (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,18/08/2020
53,Lonsdale St - Elizabeth St (North),1,1,2,3,2,11,42,96,54,51,63,87,81,80,84,77,75,119,90,42,22,15,12,6,1116,46.5,18/08/2020
54,Bourke St Bridge,1,,1,,1,13,31,51,59,41,50,62,83,77,59,59,70,77,64,38,11,8,5,4,865,39.31818182,18/08/2020
55,Bourke St - Spencer St (North),8,6,5,5,10,41,73,103,134,110,122,117,159,170,166,164,201,227,147,88,29,39,33,22,2179,90.79166667,18/08/2020
56,RMIT Bld 80 - 445 Swanston Street,,,,,,,,11,15,13,31,53,55,57,43,40,53,30,,,,,,,401,36.45454545,18/08/2020
57,Flinders La-Swanston St (West) Temporary,,,,,,,,,,,,,,,,,,,,,,,,,0,,18/08/2020
58,RMIT Building 14,4,2,1,1,8,9,30,34,50,67,82,92,120,134,120,121,143,147,124,56,9,7,11,3,1375,57.29166667,18/08/2020
59,380 Elizabeth St,15,14,6,13,18,75,144,164,196,211,233,369,496,464,622,564,564,722,507,317,87,72,31,37,5941,247.5416667,18/08/2020
60,La Trobe St (North),,,,,,,,,,,,,,,,,,,,,,,,,0,,18/08/2020
61,231 Bourke St,9,2,5,5,1,14,17,56,57,59,74,128,131,155,96,104,96,87,68,38,22,14,9,7,1254,52.25,18/08/2020
62,Royal Pde - Grattan St,2,,,2,1,7,38,112,104,95,101,90,114,120,85,103,100,137,55,48,16,12,8,6,1356,61.63636364,18/08/2020
63,Swanston St - City Square,4,2,1,2,1,11,31,50,51,49,48,60,73,68,68,90,92,94,61,48,18,13,17,4,956,39.83333333,18/08/2020
64,State Library - New,3,2,1,,6,11,18,42,55,87,113,152,228,219,246,285,311,296,227,119,37,23,25,14,2520,109.5652174,18/08/2020
65,Flinders Ln - Degraves St (South),,,,,,,13,45,69,100,89,97,146,109,120,106,116,104,56,37,3,1,,,1211,75.6875,18/08/2020
66,Flinders Ln - Degraves St (North),,,,,,,3,49,88,75,65,47,78,87,73,49,44,45,0,0,0,0,,,703,43.9375,18/08/2020
67,Flinders Ln - Degraves St (Crossing),,,,,,,9,38,61,40,47,40,54,46,38,27,22,25,0,0,1,0,,,448,28,18/08/2020
68,Errol Street (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,18/08/2020
69,Westwood Place,,,,,,,,,,,,,,,,,,,,,,,,,0,,18/08/2020
70,Flinders St - ACMI,,,,,,,,,,,,,,,,,,,,,,,,,0,,18/08/2020
71,Bourke St - Spencer St (South),,,,,,,,,,,,,,,,,,,,,,,,,0,,18/08/2020
72,Spring St - Flinders St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,18/08/2020
73,Macaulay Rd - Bellair St,,,,,,,,,,,,,,,,,,,,,,,,,0,,18/08/2020
74,Harbour Esplanade - Pedestrian Path,,,,,,,,,,,,,,,,,,,,,,,,,0,,18/08/2020
75,Harbour Esplanade - Bike Path,,,,,,,,,,,,,,,,,,,,,,,,,0,,18/08/2020
0,Bourke Street Mall (North),2,1,1,5,3,5,39,47,81,76,82,96,128,98,137,157,165,161,106,82,14,16,3,37,1542,64.25,19/08/2020
1,Bourke Street Mall (South),2,2,1,4,8,5,8,42,46,52,102,105,157,148,129,153,168,126,57,41,5,12,11,2,1386,57.75,19/08/2020
2,Melbourne Central,10,1,7,8,4,22,35,71,82,124,133,120,179,225,185,231,235,301,219,170,77,65,60,9,2573,107.2083333,19/08/2020
3,Town Hall (West),5,9,6,1,10,34,56,95,169,163,184,221,264,256,268,246,234,280,203,137,35,27,24,12,2939,122.4583333,19/08/2020
4,Princes Bridge,18,7,21,23,35,56,93,121,133,113,131,116,128,124,169,203,194,306,248,138,56,51,35,19,2538,105.75,19/08/2020
5,Flinders Street Station Underpass,23,8,4,2,7,59,132,170,164,142,126,142,193,170,227,256,245,315,274,164,68,52,17,13,2973,123.875,19/08/2020
6,Birrarung Marr,6,1,,3,,26,47,155,97,52,38,51,29,20,54,66,128,240,186,45,5,5,2,2,1258,57.18181818,19/08/2020
7,Webb Bridge,1,,,,2,15,43,107,111,74,90,49,40,49,84,101,165,263,232,87,5,3,3,3,1527,72.71428571,19/08/2020
8,Southern Cross Station,3,,2,,3,19,47,53,71,31,36,27,35,46,58,57,57,96,58,29,10,12,18,3,771,35.04545455,19/08/2020
9,Victoria Point,,2,1,1,1,2,13,24,36,29,32,30,27,14,19,27,33,50,42,21,8,4,5,1,422,18.34782609,19/08/2020
10,Waterfront City,,,,,,1,13,24,34,12,13,3,5,7,17,31,38,97,76,61,5,2,1,1,441,23.21052632,19/08/2020
11,New Quay,5,1,2,,1,5,40,102,107,74,78,38,37,40,93,128,173,376,280,212,19,7,19,7,1844,80.17391304,19/08/2020
12,Flagstaff Station,,,,,,,,,,,,,,,,,,,,,,,,,0,,19/08/2020
13,Sandridge Bridge,2,,1,5,5,32,78,107,87,66,65,52,43,52,74,107,111,163,140,78,21,13,7,5,1314,57.13043478,19/08/2020
14,State Library,,,,,,,,,,,,,,,,,,,,,,,,,0,,19/08/2020
15,Collins St (North),1,1,4,5,5,14,25,64,92,129,123,114,163,148,167,177,133,93,79,55,10,6,10,7,1625,67.70833333,19/08/2020
16,Collins Place (South),,,1,2,1,24,63,102,130,89,84,104,81,116,132,105,83,119,68,35,22,9,10,,1380,65.71428571,19/08/2020
17,Collins Place (North),,,,,1,4,9,11,17,26,16,27,21,29,40,35,29,35,16,10,5,2,2,,335,17.63157895,19/08/2020
18,Chinatown-Swanston St (North),14,8,4,5,1,14,8,15,25,43,36,74,89,141,108,87,120,141,135,89,68,27,22,19,1293,53.875,19/08/2020
19,Chinatown-Lt Bourke St (South),2,3,4,1,,4,27,13,26,42,37,54,57,93,90,63,47,71,55,83,21,7,4,3,807,35.08695652,19/08/2020
20,Bourke St-Russell St (West),6,5,15,4,4,21,23,21,50,67,93,104,96,111,131,136,157,190,141,90,20,18,19,8,1530,63.75,19/08/2020
21,Flinders St-Elizabeth St (East),37,14,23,36,33,102,115,252,317,336,407,429,428,476,523,649,721,832,769,546,174,131,116,36,7502,312.5833333,19/08/2020
22,Spencer St-Collins St (South),1,1,,6,1,12,45,47,67,42,44,38,63,62,60,58,79,92,85,53,35,18,10,4,923,40.13043478,19/08/2020
23,Spencer St-Collins St (North),16,4,4,5,15,61,159,173,189,132,190,201,303,220,248,328,318,321,221,163,76,74,44,24,3489,145.375,19/08/2020
24,Melbourne Convention Exhibition Centre,8,14,1,7,11,31,149,244,277,174,136,95,93,101,214,201,286,431,362,132,30,18,19,33,3067,127.7916667,19/08/2020
25,QV Market-Elizabeth St (West),15,14,13,16,36,30,55,83,112,151,137,145,204,174,178,194,182,207,164,140,52,48,35,23,2408,100.3333333,19/08/2020
26,QV Market-Peel St,4,1,,,4,3,9,18,39,46,42,35,45,33,41,60,53,81,58,39,16,9,9,6,651,29.59090909,19/08/2020
27,The Arts Centre,15,9,24,24,43,41,70,100,80,89,99,72,105,82,112,115,175,249,215,96,41,41,38,20,1955,81.45833333,19/08/2020
28,St Kilda Rd-Alexandra Gardens,,,,,1,3,15,65,35,35,35,23,11,21,36,39,64,138,87,18,4,,3,,633,35.16666667,19/08/2020
29,Lonsdale St (South),6,3,2,6,1,8,18,43,35,43,74,81,83,89,94,113,78,76,90,66,30,21,21,11,1092,45.5,19/08/2020
30,Lygon St (West),17,18,2,10,13,8,27,27,49,44,80,84,79,65,76,64,110,135,66,65,54,50,20,32,1195,49.79166667,19/08/2020
31,City Square,,,,,,,,,,,,,,,,,,,,,,,,,0,,19/08/2020
32,Flinders St-Spring St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,19/08/2020
33,Flinders St-Spark La,,,2,,1,2,8,41,24,28,14,24,7,8,23,30,36,42,40,18,2,5,4,3,362,17.23809524,19/08/2020
34,Southbank,,,,2,,22,85,207,188,127,132,106,67,50,90,219,249,465,416,173,10,8,12,8,2636,131.8,19/08/2020
35,Queen St (West),1,1,1,,,7,24,48,82,78,56,61,55,116,84,50,54,63,29,23,8,8,10,3,862,39.18181818,19/08/2020
36,Lygon St (East),4,,,6,6,1,10,14,30,38,37,44,52,51,78,58,80,67,56,22,2,6,1,1,664,30.18181818,19/08/2020
37,Alfred Place,,,,,3,6,4,11,20,18,18,28,36,21,38,21,9,5,14,4,3,1,2,,262,13.78947368,19/08/2020
38,Lonsdale St-Spring St (West),,,,1,5,9,9,69,47,62,73,80,63,40,54,31,66,104,52,37,9,11,10,,832,41.6,19/08/2020
39,Grattan St-Swanston St (West),4,1,2,,6,1,26,21,35,22,31,26,28,42,42,41,35,59,51,23,3,4,1,2,506,22,19/08/2020
40,Monash Rd-Swanston St (West),1,,1,,,3,10,18,23,13,12,8,19,20,23,28,36,63,37,17,2,2,3,,339,16.95,19/08/2020
41,Tin Alley-Swanston St (West),3,,,,,1,4,9,10,9,2,4,13,11,18,28,28,39,25,15,,2,1,,222,12.33333333,19/08/2020
42,Little Collins St-Swanston St (East),17,4,4,6,3,14,27,58,74,69,71,108,105,114,124,105,104,151,102,44,17,17,8,12,1358,56.58333333,19/08/2020
43,Flinders La-Swanston St (West),11,11,9,3,12,85,142,224,291,213,273,205,289,264,318,323,374,445,284,185,78,56,33,51,4179,174.125,19/08/2020
44,Pelham St (South),4,,,,,4,9,9,21,15,24,19,20,26,32,35,28,43,33,17,6,1,2,3,351,17.55,19/08/2020
45,Melbourne Central-Elizabeth St (East),11,14,13,29,53,47,70,154,170,190,222,227,243,230,345,347,409,311,315,174,69,59,43,49,3794,158.0833333,19/08/2020
46,QVM-Queen St (East),3,1,,,9,12,12,27,53,38,44,49,61,49,64,86,71,88,64,52,12,15,9,3,822,37.36363636,19/08/2020
47,QVM-Therry St (South),65,34,44,52,43,30,34,37,36,70,73,78,74,78,59,51,39,80,107,84,73,79,73,54,1447,60.29166667,19/08/2020
48,Faraday St-Lygon St (West),1,6,8,6,7,,9,46,39,67,91,80,93,82,75,112,100,78,86,34,17,12,8,1,1058,46,19/08/2020
49,QVM-Franklin St (North),1,12,5,3,,16,70,76,73,86,108,104,138,128,93,81,63,82,71,40,15,11,7,5,1288,56,19/08/2020
50,Elizabeth St-Lonsdale St (South),4,2,,1,,7,6,26,22,29,55,51,52,45,66,69,57,65,46,37,16,8,8,4,676,30.72727273,19/08/2020
51,Lincoln-Swanston (W),,,,,,,,,,,,,,,,,,,,,,,,,0,,19/08/2020
52,Elizabeth St-La Trobe St (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,19/08/2020
53,Lonsdale St - Elizabeth St (North),3,2,1,,3,8,50,30,65,46,55,59,57,53,61,80,94,89,85,71,17,16,7,4,956,41.56521739,19/08/2020
54,Bourke St Bridge,,,1,,,9,31,40,43,31,45,23,25,30,58,57,51,106,70,41,9,8,4,2,684,34.2,19/08/2020
55,Bourke St - Spencer St (North),9,2,1,8,9,30,62,113,142,111,103,98,97,126,146,142,163,229,151,88,28,55,27,11,1951,81.29166667,19/08/2020
56,RMIT Bld 80 - 445 Swanston Street,,,,,,,,10,35,10,20,13,8,21,40,38,45,51,1,,,,,,292,24.33333333,19/08/2020
57,Flinders La-Swanston St (West) Temporary,,,,,,,,,,,,,,,,,,,,,,,,,0,,19/08/2020
58,RMIT Building 14,5,2,2,2,10,13,27,34,64,63,69,79,65,76,121,115,101,129,124,62,13,3,20,7,1206,50.25,19/08/2020
59,380 Elizabeth St,8,5,13,12,24,81,140,135,177,184,291,236,293,287,397,471,491,567,473,342,77,45,40,41,4830,201.25,19/08/2020
60,La Trobe St (North),,,,,,,,,,,,,,,,,,26,53,36,35,20,9,9,188,26.85714286,19/08/2020
61,231 Bourke St,10,11,3,9,4,12,17,53,57,71,64,81,108,87,85,87,109,98,71,51,14,16,9,4,1131,47.125,19/08/2020
62,Royal Pde - Grattan St,4,4,3,1,3,13,38,105,114,97,75,70,66,67,98,76,85,112,67,49,13,13,7,7,1187,49.45833333,19/08/2020
63,Swanston St - City Square,4,6,1,2,3,6,20,48,41,56,45,28,40,44,78,83,67,122,75,23,10,13,10,11,836,34.83333333,19/08/2020
64,State Library - New,7,1,1,1,5,18,26,30,59,86,149,131,113,123,212,206,254,278,211,120,36,19,8,9,2103,87.625,19/08/2020
65,Flinders Ln - Degraves St (South),,,,,,,13,77,96,89,99,79,79,98,114,75,89,119,35,29,6,2,,,1099,68.6875,19/08/2020
66,Flinders Ln - Degraves St (North),,,,,,,5,45,60,47,44,34,49,40,86,52,41,50,0,0,0,0,,,553,34.5625,19/08/2020
67,Flinders Ln - Degraves St (Crossing),,,,,,,4,46,48,37,43,38,53,32,43,32,18,13,0,1,1,0,,,409,25.5625,19/08/2020
68,Errol Street (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,19/08/2020
69,Westwood Place,,,,,,,,,,,,,,,,,,,,,,,,,0,,19/08/2020
70,Flinders St - ACMI,,,,,,,,,,,,,,,,,,,,,,,,,0,,19/08/2020
71,Bourke St - Spencer St (South),,,,,,,,,,,,,,,,,,,,,,,,,0,,19/08/2020
72,Spring St - Flinders St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,19/08/2020
73,Macaulay Rd - Bellair St,,,,,,,,,,,,,,,,,,,,,,,,,0,,19/08/2020
74,Harbour Esplanade - Pedestrian Path,,,,,,,,,,,,,,,,,,,,,,,,,0,,19/08/2020
75,Harbour Esplanade - Bike Path,,,,,,,,,,,,,,,,,,,,,,,,,0,,19/08/2020
0,Bourke Street Mall (North),39,4,2,,,4,38,58,54,75,138,156,180,155,213,198,203,143,120,82,12,20,8,6,1908,86.72727273,20/08/2020
1,Bourke Street Mall (South),3,,1,1,7,7,17,45,58,95,99,135,193,186,210,175,192,114,74,43,14,14,7,5,1695,73.69565217,20/08/2020
2,Melbourne Central,11,4,3,6,4,14,40,43,74,98,124,164,234,306,281,281,229,256,196,199,82,62,51,16,2778,115.75,20/08/2020
3,Town Hall (West),10,1,4,3,8,22,64,78,129,174,214,257,263,307,346,275,310,226,185,98,37,37,26,15,3089,128.7083333,20/08/2020
4,Princes Bridge,12,5,13,41,32,53,86,124,166,157,181,203,212,210,249,251,209,190,233,133,51,46,39,22,2918,121.5833333,20/08/2020
5,Flinders Street Station Underpass,8,21,1,1,5,60,126,210,239,160,248,224,203,282,338,339,334,295,263,205,63,65,20,18,3728,155.3333333,20/08/2020
6,Birrarung Marr,1,5,,3,5,15,60,124,142,122,110,105,113,136,114,125,139,151,132,60,8,3,1,4,1678,72.95652174,20/08/2020
7,Webb Bridge,1,,,1,2,11,35,94,114,117,140,136,156,168,155,149,108,157,172,119,5,2,2,2,1846,83.90909091,20/08/2020
8,Southern Cross Station,1,,2,,2,15,45,64,62,50,40,51,76,71,56,61,68,51,47,35,13,11,21,8,850,38.63636364,20/08/2020
9,Victoria Point,,2,1,1,2,4,9,22,36,36,25,35,31,29,39,44,38,29,63,33,4,2,5,2,492,21.39130435,20/08/2020
10,Waterfront City,,,,1,5,1,8,30,30,58,42,32,58,61,64,72,33,50,68,80,11,3,2,1,710,33.80952381,20/08/2020
11,New Quay,3,1,2,1,2,4,31,107,119,146,145,134,203,185,202,183,145,219,325,251,30,14,11,13,2476,103.1666667,20/08/2020
12,Flagstaff Station,,,,,,,,,,,,,,,,,,,,,,,,,0,,20/08/2020
13,Sandridge Bridge,2,1,,,4,28,62,84,103,102,91,70,113,112,117,117,100,126,126,74,18,17,12,12,1491,67.77272727,20/08/2020
14,State Library,,,,,,,,,,,,,,,,,,,,,,,,,0,,20/08/2020
15,Collins St (North),16,,1,9,3,11,23,61,75,111,93,118,118,173,174,152,117,90,50,39,6,11,7,3,1461,63.52173913,20/08/2020
16,Collins Place (South),1,,,,2,18,56,90,131,139,136,163,161,169,117,102,90,100,57,32,21,8,5,,1598,79.9,20/08/2020
17,Collins Place (North),2,,,1,,3,15,11,10,24,17,32,44,40,25,29,38,27,21,6,8,,,,353,19.61111111,20/08/2020
18,Chinatown-Swanston St (North),10,5,3,2,1,9,8,13,27,29,43,82,99,100,130,135,132,136,136,115,66,42,14,20,1357,56.54166667,20/08/2020
19,Chinatown-Lt Bourke St (South),3,,,,1,2,14,16,30,26,43,65,83,63,63,61,55,44,43,29,8,15,2,3,669,31.85714286,20/08/2020
20,Bourke St-Russell St (West),11,4,7,3,12,22,17,33,56,90,112,127,181,155,163,174,158,177,141,62,12,16,20,25,1778,74.08333333,20/08/2020
21,Flinders St-Elizabeth St (East),13,13,12,5,28,58,135,298,314,342,437,568,626,684,669,775,847,782,740,481,154,83,76,77,8217,342.375,20/08/2020
22,Spencer St-Collins St (South),6,3,1,5,1,19,29,43,56,59,58,50,64,84,69,39,78,83,55,55,31,20,10,4,922,38.41666667,20/08/2020
23,Spencer St-Collins St (North),6,3,4,1,11,72,162,199,192,189,148,234,242,255,259,342,314,286,249,188,68,45,81,28,3578,149.0833333,20/08/2020
24,Melbourne Convention Exhibition Centre,16,17,15,31,20,32,126,228,375,302,276,217,301,342,289,287,299,316,335,211,32,14,34,16,4131,172.125,20/08/2020
25,QV Market-Elizabeth St (West),27,12,15,33,33,59,63,144,190,253,280,359,487,471,367,225,169,196,172,157,50,54,28,23,3867,161.125,20/08/2020
26,QV Market-Peel St,2,2,7,1,1,6,13,22,70,43,95,98,97,110,91,68,75,68,65,60,14,7,7,3,1025,42.70833333,20/08/2020
27,The Arts Centre,13,4,14,26,35,40,67,117,118,111,138,158,164,171,169,160,145,189,204,92,41,27,17,14,2234,93.08333333,20/08/2020
28,St Kilda Rd-Alexandra Gardens,2,,,1,,,26,52,72,58,76,75,66,63,59,57,86,58,84,37,5,2,3,,882,46.42105263,20/08/2020
29,Lonsdale St (South),3,1,5,2,4,11,31,34,36,47,60,60,90,102,99,114,113,107,77,67,34,17,14,8,1136,47.33333333,20/08/2020
30,Lygon St (West),21,14,10,16,2,15,32,32,56,64,73,91,106,124,91,89,121,170,123,77,45,38,34,28,1472,61.33333333,20/08/2020
31,City Square,,,,,,,,,,,,,,,,,,,,,,,,,0,,20/08/2020
32,Flinders St-Spring St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,20/08/2020
33,Flinders St-Spark La,,,5,1,,7,11,34,25,43,44,36,31,44,34,32,40,40,40,11,2,5,,,485,25.52631579,20/08/2020
34,Southbank,2,4,,1,1,22,77,194,264,215,241,277,299,357,286,299,299,327,372,193,25,14,2,3,3774,164.0869565,20/08/2020
35,Queen St (West),,,1,5,2,8,17,27,54,64,71,55,85,83,70,63,39,50,23,21,5,8,3,3,757,34.40909091,20/08/2020
36,Lygon St (East),,,2,4,,7,8,9,27,58,62,78,73,64,90,80,65,41,34,18,1,2,3,1,727,34.61904762,20/08/2020
37,Alfred Place,,,1,5,1,2,18,19,22,33,25,27,38,39,26,22,18,11,4,11,1,,1,1,325,15.47619048,20/08/2020
38,Lonsdale St-Spring St (West),,,,,5,8,19,48,52,72,70,51,84,94,64,74,75,73,45,40,4,2,11,15,906,45.3,20/08/2020
39,Grattan St-Swanston St (West),2,,,,3,1,19,35,31,24,29,51,43,52,58,62,62,39,34,27,4,4,11,,591,29.55,20/08/2020
40,Monash Rd-Swanston St (West),,2,,,,3,3,21,40,25,24,34,26,27,41,33,41,47,31,22,3,4,2,,429,22.57894737,20/08/2020
41,Tin Alley-Swanston St (West),1,,,,2,1,2,14,29,15,12,21,15,30,26,23,24,24,20,19,2,4,1,,285,14.25,20/08/2020
42,Little Collins St-Swanston St (East),3,2,4,1,4,16,18,36,59,88,105,116,183,115,152,137,116,99,85,52,13,7,16,9,1436,59.83333333,20/08/2020
43,Flinders La-Swanston St (West),30,10,11,12,15,81,181,167,270,269,307,306,338,385,377,367,381,387,268,142,71,52,48,49,4524,188.5,20/08/2020
44,Pelham St (South),4,4,,,2,6,8,13,25,27,21,29,24,54,33,33,21,33,30,12,4,5,2,2,392,17.81818182,20/08/2020
45,Melbourne Central-Elizabeth St (East),45,50,90,39,44,60,58,136,161,223,242,312,384,383,490,507,422,302,272,184,91,39,43,24,4601,191.7083333,20/08/2020
46,QVM-Queen St (East),3,1,2,3,8,14,14,53,76,69,117,149,132,202,156,90,76,93,73,54,17,18,9,,1429,62.13043478,20/08/2020
47,QVM-Therry St (South),38,40,58,61,38,27,43,59,80,125,97,155,191,151,161,107,58,59,126,95,90,74,72,77,2082,86.75,20/08/2020
48,Faraday St-Lygon St (West),1,1,1,8,1,4,6,42,101,83,91,129,102,130,90,112,93,84,83,50,12,6,2,1,1233,51.375,20/08/2020
49,QVM-Franklin St (North),6,1,1,7,2,23,67,70,45,156,97,96,141,145,120,126,118,89,79,46,9,8,1,8,1461,60.875,20/08/2020
50,Elizabeth St-Lonsdale St (South),2,2,1,,1,5,12,18,21,35,59,67,95,86,70,99,58,76,54,36,12,13,7,5,834,36.26086957,20/08/2020
51,Lincoln-Swanston (W),,,,,,,,,,,,,,,,,,,,,,,,,0,,20/08/2020
52,Elizabeth St-La Trobe St (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,20/08/2020
53,Lonsdale St - Elizabeth St (North),8,,2,1,2,4,22,18,34,43,72,85,78,70,63,108,92,72,87,91,25,18,6,7,1008,43.82608696,20/08/2020
54,Bourke St Bridge,1,4,2,,1,6,32,43,39,57,55,78,82,86,66,72,68,63,56,37,10,3,2,2,865,37.60869565,20/08/2020
55,Bourke St - Spencer St (North),5,4,7,2,13,31,64,90,114,120,116,114,126,149,154,158,186,182,132,77,33,42,22,13,1954,81.41666667,20/08/2020
56,RMIT Bld 80 - 445 Swanston Street,,,,,,,,10,13,24,34,36,68,73,44,56,33,24,,,,,,,415,37.72727273,20/08/2020
57,Flinders La-Swanston St (West) Temporary,,,,,,,,,,,,,,,,,,,,,,,,,0,,20/08/2020
58,RMIT Building 14,3,4,2,,5,14,26,32,36,56,86,114,141,154,143,124,140,122,131,76,10,9,31,9,1468,63.82608696,20/08/2020
59,380 Elizabeth St,16,8,15,27,13,60,137,139,166,231,270,424,506,527,503,609,572,572,487,356,72,86,52,37,5885,245.2083333,20/08/2020
60,La Trobe St (North),7,8,4,1,3,60,49,12,18,20,58,32,47,45,37,44,56,38,49,45,26,36,15,14,724,30.16666667,20/08/2020
61,231 Bourke St,7,2,3,3,6,8,16,55,60,70,81,98,153,100,95,119,99,105,63,43,25,18,9,5,1243,51.79166667,20/08/2020
62,Royal Pde - Grattan St,4,,3,5,,8,39,117,111,89,106,77,81,114,93,71,110,105,57,46,13,17,7,5,1278,58.09090909,20/08/2020
63,Swanston St - City Square,,1,6,1,2,8,18,51,51,51,58,26,49,98,86,87,97,93,62,27,15,6,8,10,911,39.60869565,20/08/2020
64,State Library - New,3,1,2,1,6,9,21,39,41,87,123,146,211,246,259,275,267,212,213,138,37,19,18,11,2385,99.375,20/08/2020
65,Flinders Ln - Degraves St (South),,,,,,,9,60,74,94,114,115,141,135,154,106,114,74,44,28,19,5,,,1286,80.375,20/08/2020
66,Flinders Ln - Degraves St (North),,,,,,,3,37,87,74,76,69,90,75,78,63,46,33,0,0,0,0,,,731,45.6875,20/08/2020
67,Flinders Ln - Degraves St (Crossing),,,,,,,3,39,40,53,60,43,62,27,47,30,26,18,1,2,0,0,,,451,28.1875,20/08/2020
68,Errol Street (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,20/08/2020
69,Westwood Place,,,,,,,,,,,,,,,,,,,,,,,,,0,,20/08/2020
70,Flinders St - ACMI,,,,,,,,,,,,,,,,,,,,,,,,,0,,20/08/2020
71,Bourke St - Spencer St (South),,,,,,,,,,,,,,,,,,,,,,,,,0,,20/08/2020
72,Spring St - Flinders St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,20/08/2020
73,Macaulay Rd - Bellair St,,,,,,,,,,,,,,,,,,,,,,,,,0,,20/08/2020
