,Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm,dailyTotal,avgDaily,data_date
0,Bourke Street Mall (North),108,69,47,64,19,36,117,391,826,1001,1545,2190,3404,3748,3353,3303,3570,4368,3802,2834,2087,1281,776,539,39478,1644.916667,2/08/2019
1,Bourke Street Mall (South),,,,,1,13,44,156,477,833,876,1331,2376,2663,2042,1877,2082,2146,1600,1051,841,374,245,156,21184,1059.2,2/08/2019
2,Melbourne Central,322,199,113,100,28,76,167,338,739,777,1088,1511,2387,2398,2223,2517,2827,3442,3512,3080,3051,2646,2162,1507,37210,1550.416667,2/08/2019
3,Town Hall (West),176,75,66,29,35,84,224,502,1039,1145,1586,2191,3197,3390,3094,3086,3353,4133,3385,2588,2261,1870,1244,869,39622,1650.916667,2/08/2019
4,Princes Bridge,111,35,19,42,73,103,354,961,1826,1357,1328,1509,2043,2382,1853,2269,2648,3839,3268,2358,1805,2364,1500,1022,35069,1461.208333,2/08/2019
5,Flinders Street Station Underpass,171,61,62,34,73,239,1018,1863,3986,2226,1216,1367,2266,2389,2029,2549,3427,4650,3027,1981,1682,1468,1401,973,40158,1673.25,2/08/2019
6,Birrarung Marr,3,10,3,2,8,30,145,295,493,239,153,211,271,225,195,229,312,471,287,102,102,64,52,62,3964,165.1666667,2/08/2019
7,Webb Bridge,12,10,1,3,5,45,94,301,491,294,173,220,618,636,323,317,527,613,446,273,182,138,159,54,5935,247.2916667,2/08/2019
8,Southern Cross Station,13,15,9,5,12,92,500,2169,3994,2827,865,817,1748,1514,1040,1442,3076,3800,1708,654,324,214,267,98,27203,1133.458333,2/08/2019
9,Victoria Point,9,1,2,6,5,15,105,358,582,469,344,322,670,515,322,410,681,971,455,205,92,105,285,68,6997,291.5416667,2/08/2019
10,Waterfront City,11,4,,,1,5,7,40,58,28,24,34,117,88,50,60,90,131,103,100,89,32,47,17,1136,51.63636364,2/08/2019
11,New Quay,13,7,2,3,,15,42,179,304,228,154,194,433,376,369,296,416,774,700,941,307,234,616,154,6757,293.7826087,2/08/2019
12,Flagstaff Station,,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2019
13,Sandridge Bridge,78,28,24,17,53,96,279,615,1394,766,464,600,790,800,668,782,1171,1652,976,639,615,507,598,391,14003,583.4583333,2/08/2019
14,State Library,103,59,26,27,15,34,81,278,642,678,867,1108,1838,1902,1720,1877,2185,2610,2351,1868,1778,1469,989,555,25060,1044.166667,2/08/2019
15,Collins St (North),93,54,17,12,3,36,238,437,961,977,1131,1446,2112,2108,1747,1645,1672,1799,1281,771,563,425,401,260,20189,841.2083333,2/08/2019
16,Collins Place (South),38,20,12,6,7,80,234,822,1859,1461,962,736,1536,1453,857,866,856,1423,841,506,483,229,208,219,15714,654.75,2/08/2019
17,Collins Place (North),18,9,9,2,4,40,148,729,1535,1045,574,482,651,644,554,613,1018,1439,645,304,149,123,164,85,10984,457.6666667,2/08/2019
18,Chinatown-Swanston St (North),150,92,68,44,23,16,43,96,120,136,320,502,1034,1036,805,832,1008,1347,1731,1783,1516,1413,1003,634,15752,656.3333333,2/08/2019
19,Chinatown-Lt Bourke St (South),212,127,62,53,20,16,36,95,210,189,261,426,1156,1084,679,662,565,870,1365,1447,1204,1036,845,507,13127,546.9583333,2/08/2019
20,Bourke St-Russell St (West),264,169,113,121,77,69,94,183,373,354,517,705,1550,1674,1126,1045,1122,1531,1428,1571,1416,1254,981,822,18559,773.2916667,2/08/2019
21,Flinders St-Elizabeth St (East),281,138,152,112,130,210,817,1460,2773,2110,1891,2132,3007,3153,2967,3240,3923,4579,3767,2954,2388,2363,1884,1284,47715,1988.125,2/08/2019
22,Spencer St-Collins St (South),51,34,20,22,22,51,236,750,1385,972,593,548,1169,1091,722,667,891,1298,725,393,292,231,273,152,12588,524.5,2/08/2019
23,Spencer St-Collins St (North),218,56,49,24,42,306,1016,2462,4230,2987,1719,1765,2813,2774,2442,2588,3897,4779,3166,2145,1332,1127,1592,597,44126,1838.583333,2/08/2019
24,Melbourne Convention Exhibition Centre,124,78,34,8,29,66,224,588,1338,573,495,686,996,2024,1192,1308,1475,1704,1283,944,697,707,475,283,17331,722.125,2/08/2019
25,QV Market-Elizabeth St (West),107,77,66,34,32,64,177,343,701,818,1012,1211,1862,1839,1291,1224,995,881,827,756,622,547,475,300,16261,677.5416667,2/08/2019
26,QV Market-Peel St,26,,8,7,6,10,30,89,176,206,169,227,322,365,221,312,230,230,196,131,168,119,126,74,3448,149.9130435,2/08/2019
27,The Arts Centre,36,22,23,29,50,89,265,755,1666,1217,1117,1464,1827,2131,1507,1876,2203,2819,2199,1926,865,1615,926,311,26938,1122.416667,2/08/2019
28,St Kilda Rd-Alexandra Gardens,23,22,10,17,6,22,77,178,351,271,324,357,576,636,536,530,521,659,408,261,207,240,185,83,6500,270.8333333,2/08/2019
29,Lonsdale St (South),214,193,93,66,40,47,90,138,337,304,332,629,1494,1149,758,840,1032,1275,1336,1276,1248,1137,1112,804,15944,664.3333333,2/08/2019
30,Lygon St (West),26,17,28,11,11,14,42,68,131,161,123,233,391,386,308,262,230,395,535,552,522,685,518,315,5964,248.5,2/08/2019
31,City Square,,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2019
32,Flinders St-Spring St (West),14,4,3,,7,14,74,208,476,369,172,193,363,313,258,238,402,537,275,149,117,87,83,87,4443,193.173913,2/08/2019
33,Flinders St-Spark La,13,9,2,5,9,26,67,146,311,276,232,194,282,269,206,226,233,340,213,137,132,72,142,70,3612,150.5,2/08/2019
34,Southbank,115,43,37,20,29,115,680,970,1931,1194,923,1077,1980,2084,1349,1381,1487,2307,1971,1611,1205,1218,914,610,25251,1052.125,2/08/2019
