,Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm,data_date
47,QVM-Therry St (South),81.0,45.0,48.0,36.0,15.0,17.0,31.0,89.0,143.0,224.0,259.0,334.0,430.0,443.0,281.0,165.0,189.0,279.0,136.0,120.0,135.0,103.0,91.0,71.0,01-08-2019
48,Faraday St-Lygon St (West),46.0,57.0,4.0,6.0,10.0,,47.0,87.0,193.0,204.0,223.0,309.0,403.0,499.0,409.0,339.0,395.0,480.0,545.0,458.0,333.0,299.0,204.0,57.0,01-08-2019
49,QVM-Franklin St (North),20.0,17.0,14.0,10.0,9.0,30.0,24.0,130.0,189.0,164.0,207.0,255.0,281.0,280.0,239.0,204.0,219.0,209.0,206.0,173.0,165.0,139.0,77.0,29.0,01-08-2019
50,Elizabeth St-Lonsdale St (South),23.0,27.0,14.0,7.0,2.0,31.0,58.0,210.0,647.0,617.0,522.0,611.0,1075.0,1044.0,858.0,770.0,796.0,948.0,760.0,633.0,600.0,376.0,191.0,149.0,01-08-2019
51,Lincoln-Swanston (W),38.0,31.0,15.0,18.0,,3.0,35.0,97.0,301.0,298.0,366.0,461.0,538.0,554.0,546.0,573.0,543.0,733.0,592.0,300.0,211.0,227.0,99.0,38.0,01-08-2019
52,Elizabeth St-La Trobe St (East),,,,,,,,,,,,,,,,,,,,,,,,,01-08-2019
53,Lonsdale St - Elizabeth St (North),34.0,19.0,8.0,5.0,3.0,22.0,88.0,160.0,423.0,396.0,390.0,515.0,744.0,886.0,586.0,586.0,679.0,814.0,665.0,393.0,425.0,251.0,138.0,87.0,01-08-2019
54,Bourke St Bridge,19.0,5.0,6.0,11.0,10.0,80.0,537.0,1925.0,4199.0,2865.0,1045.0,967.0,2329.0,1960.0,1083.0,1265.0,2725.0,3753.0,1547.0,556.0,242.0,155.0,160.0,81.0,01-08-2019
55,Bourke St - Spencer St (North),69.0,34.0,38.0,18.0,28.0,132.0,394.0,1163.0,2342.0,1683.0,1065.0,1093.0,1730.0,1751.0,1196.0,1421.0,1992.0,2468.0,1429.0,831.0,571.0,422.0,339.0,175.0,01-08-2019
56,RMIT Bld 80 - 445 Swanston Street,2.0,4.0,6.0,2.0,,3.0,6.0,73.0,521.0,448.0,610.0,656.0,937.0,727.0,816.0,447.0,564.0,340.0,97.0,46.0,48.0,53.0,21.0,6.0,01-08-2019
57,Flinders La-Swanston St (West) Temporary,34.0,24.0,36.0,38.0,39.0,157.0,410.0,1094.0,2098.0,1735.0,2010.0,2111.0,2737.0,3049.0,2861.0,2836.0,3168.0,3991.0,2959.0,2042.0,1508.0,1285.0,536.0,187.0,01-08-2019
58,RMIT Building 14,76.0,38.0,28.0,13.0,18.0,30.0,106.0,311.0,1147.0,950.0,1212.0,1381.0,1817.0,1687.0,2425.0,1474.0,1775.0,1775.0,1559.0,1032.0,956.0,636.0,327.0,178.0,01-08-2019
59,380 Elizabeth St,,,,,,,,,,,,,,,,,,,,,,,,,01-08-2019
60,La Trobe St (North),,,,,,,,,,,,,,,,,,,,,,,,,01-08-2019
61,231 Bourke St,,,,,,,,,,,,,,,,,,,,,,,,,01-08-2019
62,Royal Pde - Grattan St,,,,,,,,,,,,,,,,,,,,,,,,,01-08-2019
63,Swanston St - City Square,,,,,,,,,,,,,,,,,,,,,,,,,01-08-2019
64,State Library - New,,,,,,,,,,,,,,,,,,,,,,,,,01-08-2019
65,Flinders Ln - Degraves St (South),,,,,,,,,,,,,,,,,,,,,,,,,01-08-2019
66,Flinders Ln - Degraves St (North),,,,,,,,,,,,,,,,,,,,,,,,,01-08-2019
67,Flinders Ln - Degraves St (Crossing),,,,,,,,,,,,,,,,,,,,,,,,,01-08-2019
68,Errol Street (East),,,,,,,,,,,,,,,,,,,,,,,,,01-08-2019
69,Westwood Place,,,,,,,,,,,,,,,,,,,,,,,,,01-08-2019
70,Flinders St - ACMI,,,,,,,,,,,,,,,,,,,,,,,,,01-08-2019
71,Bourke St - Spencer St (South),,,,,,,,,,,,,,,,,,,,,,,,,01-08-2019
72,Spring St - Flinders St (West),,,,,,,,,,,,,,,,,,,,,,,,,01-08-2019
73,Macaulay Rd - Bellair St,,,,,,,,,,,,,,,,,,,,,,,,,01-08-2019
74,Harbour Esplanade - Pedestrian Path,,,,,,,,,,,,,,,,,,,,,,,,,01-08-2019
75,Harbour Esplanade - Bike Path,,,,,,,,,,,,,,,,,,,,,,,,,01-08-2019
76,Total,3278.0,1900.0,1170.0,839.0,825.0,2927.0,10305.0,27376.0,58062.0,44127.0,35926.0,42191.0,67163.0,70103.0,55879.0,55412.0,66492.0,86716.0,61391.0,39443.0,30542.0,24364.0,16364.0,8481.0,01-08-2019
0,Bourke Street Mall (North),108.0,69.0,47.0,64.0,19.0,36.0,117.0,391.0,826.0,1001.0,1545.0,2190.0,3404.0,3748.0,3353.0,3303.0,3570.0,4368.0,3802.0,2834.0,2087.0,1281.0,776.0,539.0,02-08-2019
1,Bourke Street Mall (South),,,,,1.0,13.0,44.0,156.0,477.0,833.0,876.0,1331.0,2376.0,2663.0,2042.0,1877.0,2082.0,2146.0,1600.0,1051.0,841.0,374.0,245.0,156.0,02-08-2019
2,Melbourne Central,322.0,199.0,113.0,100.0,28.0,76.0,167.0,338.0,739.0,777.0,1088.0,1511.0,2387.0,2398.0,2223.0,2517.0,2827.0,3442.0,3512.0,3080.0,3051.0,2646.0,2162.0,1507.0,02-08-2019
3,Town Hall (West),176.0,75.0,66.0,29.0,35.0,84.0,224.0,502.0,1039.0,1145.0,1586.0,2191.0,3197.0,3390.0,3094.0,3086.0,3353.0,4133.0,3385.0,2588.0,2261.0,1870.0,1244.0,869.0,02-08-2019
4,Princes Bridge,111.0,35.0,19.0,42.0,73.0,103.0,354.0,961.0,1826.0,1357.0,1328.0,1509.0,2043.0,2382.0,1853.0,2269.0,2648.0,3839.0,3268.0,2358.0,1805.0,2364.0,1500.0,1022.0,02-08-2019
5,Flinders Street Station Underpass,171.0,61.0,62.0,34.0,73.0,239.0,1018.0,1863.0,3986.0,2226.0,1216.0,1367.0,2266.0,2389.0,2029.0,2549.0,3427.0,4650.0,3027.0,1981.0,1682.0,1468.0,1401.0,973.0,02-08-2019
6,Birrarung Marr,3.0,10.0,3.0,2.0,8.0,30.0,145.0,295.0,493.0,239.0,153.0,211.0,271.0,225.0,195.0,229.0,312.0,471.0,287.0,102.0,102.0,64.0,52.0,62.0,02-08-2019
7,Webb Bridge,12.0,10.0,1.0,3.0,5.0,45.0,94.0,301.0,491.0,294.0,173.0,220.0,618.0,636.0,323.0,317.0,527.0,613.0,446.0,273.0,182.0,138.0,159.0,54.0,02-08-2019
8,Southern Cross Station,13.0,15.0,9.0,5.0,12.0,92.0,500.0,2169.0,3994.0,2827.0,865.0,817.0,1748.0,1514.0,1040.0,1442.0,3076.0,3800.0,1708.0,654.0,324.0,214.0,267.0,98.0,02-08-2019
9,Victoria Point,9.0,1.0,2.0,6.0,5.0,15.0,105.0,358.0,582.0,469.0,344.0,322.0,670.0,515.0,322.0,410.0,681.0,971.0,455.0,205.0,92.0,105.0,285.0,68.0,02-08-2019
10,Waterfront City,11.0,4.0,,,1.0,5.0,7.0,40.0,58.0,28.0,24.0,34.0,117.0,88.0,50.0,60.0,90.0,131.0,103.0,100.0,89.0,32.0,47.0,17.0,02-08-2019
11,New Quay,13.0,7.0,2.0,3.0,,15.0,42.0,179.0,304.0,228.0,154.0,194.0,433.0,376.0,369.0,296.0,416.0,774.0,700.0,941.0,307.0,234.0,616.0,154.0,02-08-2019
12,Flagstaff Station,,,,,,,,,,,,,,,,,,,,,,,,,02-08-2019
13,Sandridge Bridge,78.0,28.0,24.0,17.0,53.0,96.0,279.0,615.0,1394.0,766.0,464.0,600.0,790.0,800.0,668.0,782.0,1171.0,1652.0,976.0,639.0,615.0,507.0,598.0,391.0,02-08-2019
14,State Library,103.0,59.0,26.0,27.0,15.0,34.0,81.0,278.0,642.0,678.0,867.0,1108.0,1838.0,1902.0,1720.0,1877.0,2185.0,2610.0,2351.0,1868.0,1778.0,1469.0,989.0,555.0,02-08-2019
15,Collins St (North),93.0,54.0,17.0,12.0,3.0,36.0,238.0,437.0,961.0,977.0,1131.0,1446.0,2112.0,2108.0,1747.0,1645.0,1672.0,1799.0,1281.0,771.0,563.0,425.0,401.0,260.0,02-08-2019
16,Collins Place (South),38.0,20.0,12.0,6.0,7.0,80.0,234.0,822.0,1859.0,1461.0,962.0,736.0,1536.0,1453.0,857.0,866.0,856.0,1423.0,841.0,506.0,483.0,229.0,208.0,219.0,02-08-2019
17,Collins Place (North),18.0,9.0,9.0,2.0,4.0,40.0,148.0,729.0,1535.0,1045.0,574.0,482.0,651.0,644.0,554.0,613.0,1018.0,1439.0,645.0,304.0,149.0,123.0,164.0,85.0,02-08-2019
18,Chinatown-Swanston St (North),150.0,92.0,68.0,44.0,23.0,16.0,43.0,96.0,120.0,136.0,320.0,502.0,1034.0,1036.0,805.0,832.0,1008.0,1347.0,1731.0,1783.0,1516.0,1413.0,1003.0,634.0,02-08-2019
19,Chinatown-Lt Bourke St (South),212.0,127.0,62.0,53.0,20.0,16.0,36.0,95.0,210.0,189.0,261.0,426.0,1156.0,1084.0,679.0,662.0,565.0,870.0,1365.0,1447.0,1204.0,1036.0,845.0,507.0,02-08-2019
20,Bourke St-Russell St (West),264.0,169.0,113.0,121.0,77.0,69.0,94.0,183.0,373.0,354.0,517.0,705.0,1550.0,1674.0,1126.0,1045.0,1122.0,1531.0,1428.0,1571.0,1416.0,1254.0,981.0,822.0,02-08-2019
21,Flinders St-Elizabeth St (East),281.0,138.0,152.0,112.0,130.0,210.0,817.0,1460.0,2773.0,2110.0,1891.0,2132.0,3007.0,3153.0,2967.0,3240.0,3923.0,4579.0,3767.0,2954.0,2388.0,2363.0,1884.0,1284.0,02-08-2019
22,Spencer St-Collins St (South),51.0,34.0,20.0,22.0,22.0,51.0,236.0,750.0,1385.0,972.0,593.0,548.0,1169.0,1091.0,722.0,667.0,891.0,1298.0,725.0,393.0,292.0,231.0,273.0,152.0,02-08-2019
23,Spencer St-Collins St (North),218.0,56.0,49.0,24.0,42.0,306.0,1016.0,2462.0,4230.0,2987.0,1719.0,1765.0,2813.0,2774.0,2442.0,2588.0,3897.0,4779.0,3166.0,2145.0,1332.0,1127.0,1592.0,597.0,02-08-2019
24,Melbourne Convention Exhibition Centre,124.0,78.0,34.0,8.0,29.0,66.0,224.0,588.0,1338.0,573.0,495.0,686.0,996.0,2024.0,1192.0,1308.0,1475.0,1704.0,1283.0,944.0,697.0,707.0,475.0,283.0,02-08-2019
25,QV Market-Elizabeth St (West),107.0,77.0,66.0,34.0,32.0,64.0,177.0,343.0,701.0,818.0,1012.0,1211.0,1862.0,1839.0,1291.0,1224.0,995.0,881.0,827.0,756.0,622.0,547.0,475.0,300.0,02-08-2019
26,QV Market-Peel St,26.0,,8.0,7.0,6.0,10.0,30.0,89.0,176.0,206.0,169.0,227.0,322.0,365.0,221.0,312.0,230.0,230.0,196.0,131.0,168.0,119.0,126.0,74.0,02-08-2019
27,The Arts Centre,36.0,22.0,23.0,29.0,50.0,89.0,265.0,755.0,1666.0,1217.0,1117.0,1464.0,1827.0,2131.0,1507.0,1876.0,2203.0,2819.0,2199.0,1926.0,865.0,1615.0,926.0,311.0,02-08-2019
28,St Kilda Rd-Alexandra Gardens,23.0,22.0,10.0,17.0,6.0,22.0,77.0,178.0,351.0,271.0,324.0,357.0,576.0,636.0,536.0,530.0,521.0,659.0,408.0,261.0,207.0,240.0,185.0,83.0,02-08-2019
29,Lonsdale St (South),214.0,193.0,93.0,66.0,40.0,47.0,90.0,138.0,337.0,304.0,332.0,629.0,1494.0,1149.0,758.0,840.0,1032.0,1275.0,1336.0,1276.0,1248.0,1137.0,1112.0,804.0,02-08-2019
30,Lygon St (West),26.0,17.0,28.0,11.0,11.0,14.0,42.0,68.0,131.0,161.0,123.0,233.0,391.0,386.0,308.0,262.0,230.0,395.0,535.0,552.0,522.0,685.0,518.0,315.0,02-08-2019
31,City Square,,,,,,,,,,,,,,,,,,,,,,,,,02-08-2019
32,Flinders St-Spring St (West),14.0,4.0,3.0,,7.0,14.0,74.0,208.0,476.0,369.0,172.0,193.0,363.0,313.0,258.0,238.0,402.0,537.0,275.0,149.0,117.0,87.0,83.0,87.0,02-08-2019
33,Flinders St-Spark La,13.0,9.0,2.0,5.0,9.0,26.0,67.0,146.0,311.0,276.0,232.0,194.0,282.0,269.0,206.0,226.0,233.0,340.0,213.0,137.0,132.0,72.0,142.0,70.0,02-08-2019
34,Southbank,115.0,43.0,37.0,20.0,29.0,115.0,680.0,970.0,1931.0,1194.0,923.0,1077.0,1980.0,2084.0,1349.0,1381.0,1487.0,2307.0,1971.0,1611.0,1205.0,1218.0,914.0,610.0,02-08-2019
35,Queen St (West),53.0,44.0,26.0,11.0,21.0,15.0,75.0,225.0,630.0,556.0,488.0,496.0,1197.0,1075.0,646.0,665.0,684.0,863.0,530.0,384.0,324.0,324.0,464.0,481.0,02-08-2019
36,Lygon St (East),19.0,12.0,8.0,7.0,3.0,8.0,11.0,39.0,107.0,127.0,142.0,192.0,277.0,329.0,215.0,243.0,151.0,235.0,363.0,282.0,324.0,313.0,222.0,73.0,02-08-2019
37,Alfred Place,16.0,7.0,3.0,3.0,5.0,12.0,97.0,325.0,802.0,826.0,525.0,571.0,1488.0,1307.0,658.0,462.0,504.0,650.0,468.0,198.0,159.0,172.0,118.0,63.0,02-08-2019
38,Lonsdale St-Spring St (West),27.0,11.0,8.0,6.0,8.0,24.0,79.0,327.0,750.0,655.0,587.0,675.0,1097.0,889.0,626.0,606.0,610.0,814.0,599.0,414.0,225.0,207.0,432.0,147.0,02-08-2019
39,Grattan St-Swanston St (West),9.0,10.0,4.0,9.0,4.0,15.0,39.0,230.0,652.0,604.0,638.0,926.0,1245.0,1102.0,952.0,1083.0,862.0,807.0,428.0,263.0,202.0,207.0,93.0,91.0,02-08-2019
40,Monash Rd-Swanston St (West),23.0,12.0,3.0,3.0,3.0,6.0,33.0,153.0,662.0,673.0,680.0,690.0,870.0,733.0,579.0,665.0,740.0,815.0,527.0,272.0,186.0,127.0,100.0,55.0,02-08-2019
41,Tin Alley-Swanston St (West),19.0,7.0,4.0,1.0,3.0,3.0,22.0,53.0,227.0,218.0,256.0,240.0,317.0,334.0,273.0,316.0,291.0,318.0,223.0,144.0,122.0,100.0,53.0,39.0,02-08-2019
